"Id","Nombre por defecto","Descripción por defecto","Precio (€)","Alérgenos","Nombre Español (🇪🇸)","Descripción Español (🇪🇸)","Nombre English (🇬🇧)","Descripción English (🇬🇧)","Nombre Française (🇫🇷)","Descripción Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Descripción Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Descripción Italiano (🇮🇹)","Nombre Português (🇵🇹)","Descripción Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Descripción Netherlands (🇳🇱)","Nombre Catalán (🇪)","Descripción Catalán (🇪)","Nombre Chino (🇨)","Descripción Chino (🇨)"
"908c122f-3515-441d-add1-7c3ae2034bff","Buckbeak","Lechuga, pepino, cebolla, pollo, salsa barbacoa","5.9","Gluten","Buckbeak","Lechuga, pepino, cebolla, pollo, salsa barbacoa","Buckbeak","Lettuce, cucumber, onion, chicken, barbecue sauce","Buckbeak","laitue, concombre, oignon, pollo, sauce barbecue","Buckbeak","Salat, Gurke, Zwiebel, Hühnchen, Barbecuesauce","Buckbeak","lattuga, cetriolo, cipolla, pollo, salsa barbecue","Buckbeak","alface, pepino, cebola, pollo, molho barbecue","Buckbeak","sla, komkommer, ui, pollo, barbecuesaus","Buckbeak","Enciam, cogombre, ceba, pollastre, salsa barbacoa","Buckbeak","生菜, 黄瓜, 洋葱, pollo, 烧烤酱"
"0fbb4305-cd51-4f52-be52-9c6e914594dc","Zumo Manzana","","2.5","Ninguno","Zumo Manzana","","Apple juice","","Jus de pomme","","Apfelsaft","","Succo di mela","","Sumo de maçã","","Appelsap","","Suc de poma","","苹果汁",""
"c683d3f6-1263-46a9-a910-40ec36624c63","Mocca","Cafe con chocolate liquido y leche","3.7","Leche","Mocca","Cafe con chocolate liquido y leche","Mocca","coffee with chocolate liquido and milk","Mocca","café avec chocolat liquido et lait","Mocca","Kaffee mit Schokolade liquido und Milch","Mocca","caffè con cioccolato liquido e latte","Mocca","café com chocolate liquido e leite","Mocca","koffie met chocolade liquido en melk","Mocca","cafè amb xocolata liquido i llet","Mocca","咖啡配巧克力 liquido和牛奶"
"e27f4286-5f01-4efb-ab5d-c8bd0743b545","Grindylow","Lechuga, tomate, atún, mayonesa","4.9","Gluten, Huevo, Pescado","Grindylow","Lechuga, tomate, atún, mayonesa","Grindylow","Lettuce, tomato, tuna, mayonnaise","Grindylow","laitue, tomate, thon, mayonnaise","Grindylow","Salat, Tomate, Thunfisch, Mayonnaise","Grindylow","lattuga, pomodoro, tonno, maionese","Grindylow","alface, tomate, atum, maionese","Grindylow","sla, tomaat, tonijn, mayonaise","Grindylow","Enciam, tomàquet, tonyina, maionesa","Grindylow","生菜, 番茄, 金枪鱼, 蛋黄酱"
"589fd1d1-395b-46bc-9671-ed04dae798e4","Agua con gas","","2.5","Ninguno","Agua con gas","","Sparkling water","","Eau gazeuse","","Sprudelwasser","","Acqua frizzante","","Água com gás","","Bruiswater","","Aigua amb gas","","气泡水",""
"7d6b8eed-4898-4dfb-b831-89d8521fc6c9","Estrella Galicia","","3.0","Gluten","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia","","Estrella Galicia",""
"d6115bcb-cc13-45f3-a0ab-e16bac03f15b","Prensa francesa","Cafe molido prensado con agua caliente","3.7","Ninguno","Prensa francesa","Cafe molido prensado con agua caliente","French press","coffee molido prensado with hot water","Cafetière à piston","café molido prensado avec eau chaude","French Press","Kaffee molido prensado mit heißes Wasser","French press","caffè molido prensado con acqua calda","Prensa francesa","café molido prensado com água quente","French press","koffie molido prensado met heet water","Premsa francesa","cafè molido prensado amb aigua calenta","法压咖啡","咖啡 molido prensado配热水"
"b8f57f92-a82f-4c07-9ae3-139f90b82c4e","Lockhart","Tiras de pollo empanadas.","6.9","Gluten, Huevo","Lockhart","Tiras de pollo empanadas.","Lockhart","Breaded chicken strips.","Lockhart","lamelles de poulet painées.","Lockhart","Panierte Hähnchenstreifen.","Lockhart","strisce di pollo impaneate.","Lockhart","tiras de frango pãoadas.","Lockhart","gebroodeerde kipreepjes.","Lockhart","Tires de pollastre empanades.","Lockhart","裹粉鸡柳."
"c4283865-755d-4c74-ae6b-ff292df9b356","Lupin","Avena, chía, leche vegetal, yogur, fruta seca","5.5","Leche","Lupin","Avena, chía, leche vegetal, yogur, fruta seca","Lupin","Oatmeal, chia, vegetable milk, yogurt, fruit","Lupin","avoine, chia, lait végétal, yaourt, fruits secs","Lupin","Haferflocken, Chia, Pflanzenmilch, Joghurt, Obst","Lupin","avena, chia, latte vegetale, yogurt, frutta secca","Lupin","aveia, chia, leite vegetal, iogurte, fruta seca","Lupin","haver, chia, plantaardige melk, yoghurt, gedroogd fruit","Lupin","Civada, chia, llet vegetal, iogurt, fruita","Lupin","燕麦, 奇亚籽, 植物奶, 酸奶, 果干"
"787c48b7-4629-4e04-a600-13d85ae97295","Bellatrix","Serrano, lomo, chorizo, salchichón, fuet, longaniza de payes","15.9","Ninguno","Bellatrix","Serrano, lomo, chorizo, salchichón, fuet, longaniza de payes","Bellatrix","Serrano, loin, chorizo, salchichón, fuet, country sausage","Bellatrix","jambon serrano, longe de porc séchée, chorizo, saucisson, fuet, saucisse paysanne","Bellatrix","Serrano, Lende, Chorizo, Salchichón, Fuet, Landwurst","Bellatrix","prosciutto serrano, lonza stagiopanena montata, chorizo, salame, fuet, salsiccia contadina","Bellatrix","presunto serrano, lombo curado, chouriço, salchichão, fuet, linguiça camponesa","Bellatrix","Serrano-ham, gedroogde varkenslende, chorizo, salchichón, fuet, boerenworst","Bellatrix","Serrano, llom, xoriço, llonganissa, fuet, llonganissa de pagès","Bellatrix","塞拉诺火腿, 腌猪里脊, 西班牙辣肠, 西班牙腊肠, 富埃特香肠, 乡村香肠"
"262eaa60-550d-4b95-8674-5777e249d72a","Zumo Melocotón","","2.5","Ninguno","Zumo Melocotón","","Peach juice","","Jus de pêche","","Pfirsichsaft","","Succo di pesca","","Sumo de pêssego","","Perziksap","","Suc de préssec","","桃汁",""
"156562b8-39eb-42f9-b6f3-29cf24ae2c6b","Voldemort","Variedad de embutidos y quesos con pan","15.9","Gluten, Leche","Voldemort","Variedad de embutidos y quesos","Voldemort","Variety of sausages and cheeses","Voldemort","Variedad de charcuteries et fromages avec pain","Voldemort","Verschiedene Wurst- und Käsesorten","Voldemort","Variedad de salumi e formaggios con pane","Voldemort","Variedad de enchidos e queijos com pão","Voldemort","Variedad de vleeswaren en kaass met brood","Voldemort","Varietat d'embotits i formatges","Voldemort","Variedad de 冷切肉和奶酪s配面包"
"dea40cb4-4868-454d-9ce5-010d93a7f654","Veggi","(lechuga, zanahoria, maíz, aguacate, mayonesa, huevo cocido)","5.9","Gluten, Huevo","Veggi","(lechuga, zanahoria, maíz, aguacate, mayonesa, huevo cocido)","Veggi","(lettuce, carrot, corn, avocado, mayonnaise, boiled egg)","Veggi","(laitue, carotte, maïs, avocat, mayonnaise, œuf dur)","Veggi","(Salat, Karotte, Mais, Avocado, Mayonnaise, gekochtes Ei)","Veggi","(lattuga, carota, mais, avocado, maionese, uovo sodo)","Veggi","(alface, cenoura, milho, abacate, maionese, ovo cozido)","Veggi","(sla, wortel, maïs, avocado, mayonaise, gekookt ei)","Veggi","(enciam, pastanaga, blat de moro, alvocat, maionesa, ou cuit)","Veggi","(生菜, 胡萝卜, 玉米, 牛油果, 蛋黄酱, 熟鸡蛋)"
"783af554-8eae-4165-a8c3-53c3a14c916e","Dumbledore","(tiras de pollo hervido, tomate, cebolla, lechuga, mayonesa, huevo hervido, salsa sriracha)","5.9","Gluten, Huevo","Dumbledore","(tiras de pollo hervido, tomate, cebolla, lechuga, mayonesa, huevo hervido, salsa sriracha)","Dumbledore","(boiled chicken strips, tomato, onion, lettuce, mayonnaise, boiled egg, sriracha sauce)","Dumbledore","(tiras de pollo hervido, tomate, oignon, laitue, mayonnaise, œuf dur, sauce sriracha)","Dumbledore","(gekochte Hähnchenstreifen, Tomaten, Zwiebeln, Salat, Mayonnaise, gekochtes Ei, Sriracha-Sauce)","Dumbledore","(tiras de pollo hervido, pomodoro, cipolla, lattuga, maionese, uovo sodo, salsa sriracha)","Dumbledore","(tiras de pollo hervido, tomate, cebola, alface, maionese, ovo cozido, molho sriracha)","Dumbledore","(tiras de pollo hervido, tomaat, ui, sla, mayonaise, gekookt ei, srirachasaus)","Dumbledore","(tires de pollastre bullit, tomàquet, ceba, enciam, maionesa, ou bullit, salsa sriracha)","Dumbledore","(tiras de pollo hervido, 番茄, 洋葱, 生菜, 蛋黄酱, 水煮蛋, 是拉差辣酱)"
"36578a3a-2abd-4a78-92e9-4581c6019656","Weasley","tostadas de mermelada y mantequilla","3.9","Gluten, Leche","Weasley","tostadas de mermelada y mantequilla","Weasley","jam and butter toast","Weasley","tartines de confiture et beurre","Weasley","Marmelade und Buttertoast","Weasley","toast de marmellata e burro","Weasley","torradas de compota e manteiga","Weasley","toast de jam en boter","Weasley","torrades de melmelada i mantega","Weasley","吐司 de 果酱和黄油"
"a0942364-6ae3-46c1-bdab-6d180d79df4b","Luna","guacamole y huevo hervido.","5.9","Gluten, Huevo","Luna","tostada con tomate, guacamole y huevo hervido.","Luna","toast with tomato, guacamole and boiled egg.","Luna","guacamole et œuf dur.","Luna","Toast mit Tomate, Guacamole und gekochtem Ei.","Luna","guacamole e uovo sodo.","Luna","guacamole e ovo cozido.","Luna","guacamole en gekookt ei.","Luna","torrada amb tomàquet, guacamole i ou bullit.","Luna","牛油果酱和水煮蛋."
"e6e0c56c-8f2b-470f-ad8a-a55726ecd047","Té Frutos Rojos","","2.5","Ninguno","Té Frutos Rojos","","Red berry tea","","Thé aux fruits rouges","","Rote-Früchte-Tee","","Tè ai frutti rossi","","Chá de frutos vermelhos","","Roodfruit-thee","","Te de fruits vermells","","红莓果茶",""
"ef198120-eb22-48e0-b24c-0fbc5305e569","Fanta Limón","","2.9","Ninguno","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón","","Fanta Limón",""
"d04ea0d6-3827-4d15-8468-e2eb167ad3c4","Sprite","","2.9","Ninguno","Sprite","","Sprite","","Sprite","","Sprite","","Sprite","","Sprite","","Sprite","","Sprite","","Sprite",""
"dc2d4b35-2bf6-463c-a54d-1c23377bcf32","Tónica","","2.5","Ninguno","Tónica","","Tónica","","Tónica","","Tónica","","Tónica","","Tónica","","Tónica","","Tónica","","Tónica",""
"0978f9d3-2be8-4703-a94a-dc9e6b5aaf7b","Zumo Piña","","2.5","Ninguno","Zumo Piña","","Pineapple juice","","Jus d'ananas","","Ananassaft","","Succo d'ananas","","Sumo de ananás","","Ananassap","","Suc de pinya","","菠萝汁",""
"bca9c0c7-dc91-4fcf-a305-62f8267d6895","Expresso","Carga de expresso","1.8","Ninguno","Expresso","Carga de expresso","Espresso","espresso shot","Espresso","dose d'espresso","Espresso","Espresso-Shot","Espresso","dose di espresso","Espresso","dose de espresso","Espresso","espresso-shot","Espresso","càrrega d'espresso","浓缩咖啡","一份浓缩咖啡"
"61be7116-51b0-4a63-b56d-067ab2d51703","Capuchino","Carga de expresso con crema de leche","3.0","Leche","Capuchino","Carga de expresso con crema de leche","Cappuccino","espresso shot with milk foam","Cappuccino","dose d'espresso avec mousse de lait","Cappuccino","Espresso-Shot mit Milchschaum","Cappuccino","dose di espresso con schiuma di latte","Cappuccino","dose de espresso com espuma de leite","Cappuccino","espresso-shot met melkschuim","Caputxino","càrrega d'espresso amb escuma de llet","卡布奇诺","一份浓缩咖啡配奶泡"
"883dcc7b-2115-447c-9afd-fb4651a37998","Café con miel","Carga de expresso con miel","2.0","Ninguno","Café con miel","Carga de expresso con miel","coffee con miel","espresso shot with honey","café con miel","dose d'espresso avec miel","Kaffee con miel","Espresso-Shot mit Honig","caffè con miel","dose di espresso con miele","café con miel","dose de espresso com mel","koffie con miel","espresso-shot met honing","cafè con miel","càrrega d'espresso amb mel","咖啡 con miel","一份浓缩咖啡配蜂蜜"
"f854c749-aa2f-4343-a3e2-a231870cd678","Latte","Carga de expresso con leche caliente","2.7","Leche","Latte","Carga de expresso con leche caliente","Latte","espresso shot with milk caliente","Latte","dose d'espresso avec lait caliente","Latte","Espresso-Shot mit Milch caliente","Latte","dose di espresso con latte caliente","Latte","dose de espresso com leite caliente","Latte","espresso-shot met melk caliente","Latte","càrrega d'espresso amb llet caliente","Latte","一份浓缩咖啡配牛奶 caliente"
"31af324c-183a-4be5-baa8-cfca4d8dd1cd","Cortado","Carga de expresso con poca leche","2.0","Leche","Cortado","Carga de expresso con poca leche","Cortado","espresso shot with poca milk","Cortado","dose d'espresso avec poca lait","Cortado","Espresso-Shot mit poca Milch","Cortado","dose di espresso con poca latte","Cortado","dose de espresso com poca leite","Cortado","espresso-shot met poca melk","Cortado","càrrega d'espresso amb poca llet","Cortado","一份浓缩咖啡配poca 牛奶"
"e895c06f-1dd4-41f0-af10-0bf9a63155dc","Flat White","Doble carga de expresso con leche caliente","3.7","Leche","Flat White","Doble carga de expresso con leche caliente","Flat White","double espresso shot with milk caliente","Flat White","double dose d'espresso avec lait caliente","Flat White","doppelter Espresso-Shot mit Milch caliente","Flat White","doppia dose di espresso con latte caliente","Flat White","dose dupla de espresso com leite caliente","Flat White","dubbele espresso-shot met melk caliente","Flat White","doble càrrega d'espresso amb llet caliente","Flat White","双份浓缩咖啡配牛奶 caliente"
"f6fccbd4-6eba-44fb-b30e-4f5106dae4bb","Manzanilla","","2.5","Ninguno","Manzanilla","","Chamomile","","Camomille","","Kamille","","Camomilla","","Camomila","","Kamille","","Camamilla","","洋甘菊茶",""
"5888fc3a-d282-4941-813f-614888df5acf","Té gengibre y limon","","3.5","Ninguno","Té gengibre y limon","","tea gengibre y limon","","thé gengibre y limon","","Tee gengibre y limon","","tè gengibre y limon","","chá gengibre y limon","","thee gengibre y limon","","te gengibre y limon","","茶 gengibre y limon",""
"5cb60368-8743-4880-ac23-8f49146502e9","Poleo Menta","","2.5","Ninguno","Poleo Menta","","Pennyroyal mint","","Menthe pouliot","","Poleiminze","","Menta poleggio","","Poejo e hortelã","","Poleimunt","","Poliol menta","","薄荷茶",""
"5c430675-ced9-4a26-8fa9-902c9abc9fcd","Coca Cola","","2.9","Ninguno","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola","","Coca Cola",""
"299f16a5-6b98-4412-823f-1dcb0ce821f3","Coca Cola Zero","","2.9","Ninguno","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero","","Coca Cola Zero",""
"4789a4dc-c7be-4786-8cd1-fb19a3eb435d","Breakfast Tea","","2.5","Ninguno","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea","","Breakfast Tea",""
